term	df	idf
grandmas	1	8.638703
grandpa	5	7.029265
grands	3	7.540090
granita	2	7.945555
granny	30	5.237505
grannydragon	5	7.029265
grano	1	8.638703
granola	23	5.503208
granualted	1	8.638703
granular	18	5.748331
granulated	244	3.141534
granule	7	6.692792
granules	45	4.832040
grape	38	5.001116
grapefruit	17	5.805489
grapefruits	4	7.252408
grapefurit	1	8.638703
grapes	17	5.805489
grapeseed	11	6.240807
gras	4	7.252408
grass	6	6.846943
grasshopper	1	8.638703
grate	57	4.595651
grated	889	1.848605
grater	15	5.930652
grates	2	7.945555
gratin	22	5.547660
gratinate	1	8.638703
grating	3	7.540090
gratings	1	8.638703
gravel	1	8.638703
gravlaks	1	8.638703
gravy	113	3.911315
gray	8	6.559261
greaed	1	8.638703
grease	327	2.848742
greased	478	2.469092
greaseproof	3	7.540090
greasing	12	6.153796
greasy	6	6.846943
great	96	4.074354
greater	3	7.540090
greatly	3	7.540090
grecque	1	8.638703
greek	57	4.595651
greel	1	8.638703
green	1235	1.519876
greenish	1	8.638703
greens	64	4.479820
gremolata	1	8.638703
gren	1	8.638703
grenadine	15	5.930652
grens	1	8.638703
grey	13	6.073753
greyish	1	8.638703
grid	3	7.540090
griddle	45	4.832040
grids	2	7.945555
gril	1	8.638703
grill	220	3.245075
grilled	107	3.965874
grillers	1	8.638703
grillia	1	8.638703
grillin	1	8.638703
grilling	35	5.083355
grillly	1	8.638703
grillng	1	8.638703
grills	2	7.945555
grim	1	8.638703
grind	40	4.949823
grinded	1	8.638703
grinder	18	5.748331
grinding	2	7.945555
grindings	3	7.540090
grinds	2	7.945555
gringo	1	8.638703
grip	1	8.638703
gristle	3	7.540090
grit	2	7.945555
grits	25	5.419827
grittiness	1	8.638703
gritty	1	8.638703
groats	1	8.638703
groce	1	8.638703
grocery	7	6.692792
groenlangkaal	1	8.638703
groove	1	8.638703
grooves	1	8.638703
ground	1596	1.263447
groundnut	3	7.540090
group	2	7.945555
grouper	1	8.638703
groups	1	8.638703
grows	1	8.638703
growth	1	8.638703
gruy	1	8.638703
gruyere	37	5.027785
gst	1	8.638703
guacamole	18	5.748331
guar	4	7.252408
guarantee	1	8.638703
guaranteed	1	8.638703
guava	3	7.540090
guess	6	6.846943
guessed	2	7.945555
guests	7	6.692792
guide	3	7.540090
guideline	1	8.638703
guidline	2	7.945555
guilt	6	6.846943
guiltless	1	8.638703
guinness	16	5.866114
gulai	1	8.638703
gulden	1	8.638703
gulf	2	7.945555
gum	16	5.866114
gumbo	9	6.441478
gumdrop	1	8.638703
gumdrops	1	8.638703
gumes	1	8.638703
gummy	3	7.540090
gun	1	8.638703
gung	1	8.638703
gut	1	8.638703
guten	1	8.638703
gutted	2	7.945555
guy	4	7.252408
guys	1	8.638703
gwen	1	8.638703
gyros	4	7.252408
habanero	10	6.336118
habaneros	3	7.540090
habit	1	8.638703
haddock	11	6.240807
haddon	1	8.638703
haflway	1	8.638703
haggis	1	8.638703
hair	25	5.419827
hairy	1	8.638703
hake	1	8.638703
half	940	1.792823
halfs	1	8.638703
halfway	63	4.495568
halibut	40	4.949823
halifax	1	8.638703
halk	1	8.638703
halles	1	8.638703
halloumi	3	7.540090
halloween	4	7.252408
haloumi	1	8.638703
halt	1	8.638703
halushki	1	8.638703
halve	30	5.237505
halved	139	3.704229
halves	171	3.497039
halving	1	8.638703
halway	1	8.638703
ham	229	3.204981
hamburger	106	3.975264
hamburgers	2	7.945555
hamhock	1	8.638703
hammer	2	7.945555
hammy	1	8.638703
hand	166	3.526715
handful	21	5.594180
handfuls	12	6.153796
handheld	6	6.846943
handle	63	4.495568
handled	1	8.638703
handles	1	8.638703
handling	15	5.930652
handmixer	2	7.945555
hands	136	3.726048
handwriting	2	7.945555
handy	5	7.029265
hang	8	6.559261
hanging	2	7.945555
hangs	1	8.638703
hanout	2	7.945555
hanukkah	1	8.638703
happen	2	7.945555
happening	2	7.945555
happens	7	6.692792
happily	2	7.945555
happiness	1	8.638703
happy	3	7.540090
hara	1	8.638703
harbin	2	7.945555
hard	109	3.947355
hardart	1	8.638703
hardboiled	4	7.252408
harden	12	6.153796
hardened	1	8.638703
hardening	1	8.638703
hardens	2	7.945555
hardly	1	8.638703
hardwood	1	8.638703
hari	1	8.638703
harina	10	6.336118
harissa	5	7.029265
harlots	1	8.638703
harm	2	7.945555
harry	2	7.945555
harvest	5	7.029265
harvested	1	8.638703
harvey	1	8.638703
hash	48	4.767502
hashbrown	2	7.945555
hashbrowns	6	6.846943
hass	2	7.945555
hat	2	7.945555
hatch	1	8.638703
hate	2	7.945555
haupia	2	7.945555
hav	2	7.945555
havana	1	8.638703
havarti	2	7.945555
haven	5	7.029265
haves	1	8.638703
haw	1	8.638703
hawaiian	14	5.999645
haystack	1	8.638703
haystacks	1	8.638703
haze	2	7.945555
hazel	2	7.945555
hazelnut	4	7.252408
hazelnuts	9	6.441478
hazlenuts	1	8.638703
hcg	1	8.638703
head	121	3.842912
headache	1	8.638703
headless	1	8.638703
heads	24	5.460649
headspace	5	7.029265
heal	2	7.945555
health	4	7.252408
healthier	12	6.153796
healthy	25	5.419827
heap	6	6.846943
heaped	4	7.252408
heaping	38	5.001116
heart	17	5.805489
heartburn	1	8.638703
hearts	64	4.479820
hearty	14	5.999645
heat	2474	0.825111
heated	250	3.117242
heath	4	7.252408
heating	36	5.055184
heatproof	19	5.694264
heats	12	6.153796
heaven	3	7.540090
heavenly	4	7.252408
heavey	1	8.638703
heavier	1	8.638703
heavily	5	7.029265
heavy	468	2.490234
heavyweight	1	8.638703
heck	2	7.945555
heel	1	8.638703
height	3	7.540090
heinz	9	6.441478
heirloom	1	8.638703
helen	1	8.638703
hell	1	8.638703
hellman	4	7.252408
hellmann	7	6.692792
hellmanns	1	8.638703
hellow	1	8.638703
helmans	1	8.638703
helper	1	8.638703
helpful	3	7.540090
helpings	1	8.638703
helps	25	5.419827
hemorrhage	1	8.638703
hemp	3	7.540090
hen	1	8.638703
hence	1	8.638703
henhouse	1	8.638703
henley	1	8.638703
hens	6	6.846943
herb	71	4.376023
herbal	2	7.945555
herbed	11	6.240807
herbes	8	6.559261
herbox	1	8.638703
herbs	110	3.938222
herby	1	8.638703
here	32	5.172967
hermit	1	8.638703
hero	2	7.945555
heros	1	8.638703
hershey	18	5.748331
hersheys	3	7.540090
het	1	8.638703
hey	1	8.638703
hfrom	1	8.638703
hi	7	6.692792
hicken	1	8.638703
hickory	13	6.073753
hidden	9	6.441478
hieat	1	8.638703
hig	1	8.638703
high	940	1.792823
highball	1	8.638703
higher	10	6.336118
highest	7	6.692792
highly	5	7.029265
highspeed	1	8.638703
hill	2	7.945555
hillshire	1	8.638703
himalayan	1	8.638703
himmeltorte	1	8.638703
hines	6	6.846943
hing	4	7.252408
hint	10	6.336118
hints	3	7.540090
hiosin	1	8.638703
hip	1	8.638703
hips	2	7.945555
hiram	1	8.638703
hispanic	1	8.638703
hiss	1	8.638703
hit	5	7.029265
hits	1	8.638703
hitting	1	8.638703
hlaf	1	8.638703
ho	1	8.638703
hoagie	6	6.846943
hobo	1	8.638703
hobs	1	8.638703
hock	8	6.559261
hocks	2	7.945555
hog	4	7.252408
hoggle	1	8.638703
hogwarts	1	8.638703
hoisin	37	5.027785
hokkien	2	7.945555
holders	4	7.252408
holds	18	5.748331
hole	32	5.172967
holed	1	8.638703
holes	34	5.112342
holiday	7	6.692792
holidays	1	8.638703
hollandaise	3	7.540090
hollow	10	6.336118
hollywood	1	8.638703
holy	1	8.638703
homard	1	8.638703
home	17	5.805489
homegrown	1	8.638703
homemade	60	4.544358
homestyle	2	7.945555
hominy	10	6.336118
homogeneous	3	7.540090
homogenized	1	8.638703
homogenous	1	8.638703
honestly	1	8.638703
honey	517	2.390660
honeycomb	1	8.638703
honeyed	1	8.638703
hong	1	8.638703
hongzao	1	8.638703
hood	1	8.638703
hoods	1	8.638703
hook	21	5.594180
hooks	1	8.638703
hooooooo	1	8.638703
hoop	1	8.638703
hoot	1	8.638703
hope	9	6.441478
hoppin	1	8.638703
horizontal	3	7.540090
horizontally	25	5.419827
hormel	5	7.029265
horn	2	7.945555
hornitos	1	8.638703
horno	1	8.638703
hors	2	7.945555
horse	2	7.945555
horseradi	1	8.638703
horseradish	66	4.449048
horton	1	8.638703
host	1	8.638703
hostess	2	7.945555
hot	1260	1.499836
hotdish	1	8.638703
hotdog	1	8.638703
hotdogs	1	8.638703
hots	1	8.638703
hotter	4	7.252408
hottest	1	8.638703
hough	1	8.638703
hour	563	2.305423
hourly	1	8.638703
hours	889	1.848605
house	16	5.866114
housekeeping	1	8.638703
how	81	4.244253
however	20	5.642970
hp	1	8.638703
hpnotiq	3	7.540090
hr	8	6.559261
href	27	5.342866
hrs	9	6.441478
hsing	1	8.638703
html	2	7.945555
http	8	6.559261
https	27	5.342866
hua	1	8.638703
huevos	1	8.638703
huge	11	6.240807
huguenot	1	8.638703
huh	1	8.638703
hull	1	8.638703
hulled	8	6.559261
humidity	2	7.945555
hummingbird	1	8.638703
hummus	19	5.694264
humus	1	8.638703
hunan	1	8.638703
hungarian	18	5.748331
hunger	1	8.638703
hungry	4	7.252408
hunt	3	7.540090
hunting	1	8.638703
hunts	2	7.945555
hurricane	4	7.252408
hurry	9	6.441478
hurt	5	7.029265
husband	4	7.252408
husk	3	7.540090
husks	11	6.240807
hut	2	7.945555
hybrid	2	7.945555
hydrated	1	8.638703
hydrogenated	7	6.692792
hydrolyzed	1	8.638703
hypnotiq	1	8.638703
ibzar	1	8.638703
ice	341	2.806820
iceberg	18	5.748331
icebox	4	7.252408
icecream	2	7.945555
icecube	1	8.638703
iced	19	5.694264
icewater	1	8.638703
icing	100	4.033532
iconic	1	8.638703
icy	2	7.945555
ida	1	8.638703
idaho	5	7.029265
idea	2	7.945555
ideal	5	7.029265
ideally	2	7.945555
ideas	3	7.540090
identical	1	8.638703
idle	1	8.638703
ie	4	7.252408
if	1547	1.294630
ifnot	1	8.638703
ifyou	2	7.945555
ignite	1	8.638703
ignore	2	7.945555
ignoring	1	8.638703
ii	7	6.692792
iii	1	8.638703
ikea	1	8.638703
illinois	1	8.638703
illustrated	1	8.638703
im	1	8.638703
imagination	2	7.945555
imagine	1	8.638703
imediately	1	8.638703
imitation	11	6.240807
immediate	2	7.945555
immediatedly	1	8.638703
immediately	336	2.821591
immediatley	1	8.638703
immediatly	2	7.945555
immensely	1	8.638703
immerse	1	8.638703
immersion	21	5.594180
immidiately	1	8.638703
impart	2	7.945555
imparts	1	8.638703
impatient	1	8.638703
imperial	3	7.540090
important	32	5.172967
imported	1	8.638703
impossible	3	7.540090
impossibly	1	8.638703
imprint	3	7.540090
improve	1	8.638703
improves	3	7.540090
improvise	1	8.638703
impurities	2	7.945555
ina	4	7.252408
inc	2	7.945555
incase	1	8.638703
inces	1	8.638703
inch	1495	1.328821
inche	1	8.638703
inches	298	2.941609
inchthick	1	8.638703
incision	1	8.638703
includes	6	6.846943
incn	1	8.638703
incorporate	32	5.172967
incorporated	82	4.231983
incorporating	4	7.252408
increase	88	4.161366
increased	5	7.029265
increases	2	7.945555
increasing	2	7.945555
incredible	4	7.252408
increments	3	7.540090
indefinite	2	7.945555
indefinitely	8	6.559261
indent	2	7.945555
indentation	5	7.029265
indentations	2	7.945555
indention	1	8.638703
index	5	7.029265
indian	14	5.999645
indiana	1	8.638703
indicate	1	8.638703
indicated	2	7.945555
indirect	6	6.846943
individual	64	4.479820
individually	10	6.336118
individuals	1	8.638703
indonesian	3	7.540090
indoor	2	7.945555
indoors	1	8.638703
ines	1	8.638703
inf	1	8.638703
info	1	8.638703
information	5	7.029265
infuse	10	6.336118
infused	9	6.441478
ing	3	7.540090
ingerdients	1	8.638703
ingrediants	8	6.559261
ingrediens	1	8.638703
ingredient	30	5.237505
ingredients	1701	1.199731
ingredientsinto	1	8.638703
ingrediesnts	1	8.638703
ingrediets	1	8.638703
ingredrients	1	8.638703
ingreients	2	7.945555
ingridients	1	8.638703
ingrredients	1	8.638703
inh	1	8.638703
inhces	1	8.638703
inhibit	1	8.638703
initial	1	8.638703
injera	4	7.252408
inn	1	8.638703
inner	10	6.336118
ino	1	8.638703
inot	2	7.945555
inreadients	1	8.638703
ins	2	7.945555
insalata	1	8.638703
insert	30	5.237505
inserted	194	3.370844
inserting	3	7.540090
inserts	2	7.945555
inside	101	4.023582
insides	14	5.999645
insist	1	8.638703
inspired	1	8.638703
installments	1	8.638703
instant	199	3.345398
instead	49	4.746882
instructed	2	7.945555
instruction	2	7.945555
instructions	59	4.561165
insure	1	8.638703
int	1	8.638703
intact	12	6.153796
integrated	1	8.638703
intend	1	8.638703
intense	4	7.252408
intensely	2	7.945555
intensifies	1	8.638703
intensify	4	7.252408
interchangeable	1	8.638703
interest	1	8.638703
interesting	2	7.945555
interior	7	6.692792
intermittently	2	7.945555
internal	25	5.419827
international	1	8.638703
internet	1	8.638703
interpretation	1	8.638703
intervals	15	5.930652
intestines	2	7.945555
into	3436	0.496639
intp	1	8.638703
intro	5	7.029265
inutes	3	7.540090
invariably	1	8.638703
invert	63	4.495568
inverted	6	6.846943
inverting	4	7.252408
inward	1	8.638703
iodized	1	8.638703
iridescent	1	8.638703
irish	34	5.112342
iron	55	4.631369
irregular	3	7.540090
irresistable	1	8.638703
irresistible	1	8.638703
irretrievably	1	8.638703
irring	1	8.638703
ish	2	7.945555
island	10	6.336118
islander	2	7.945555
islands	1	8.638703
isle	2	7.945555
isn	14	5.999645
isolated	1	8.638703
isopropyl	2	7.945555
israeli	1	8.638703
issue	1	8.638703
issues	1	8.638703
italian	329	2.842645
italiano	1	8.638703
italy	2	7.945555
item	2	7.945555
items	9	6.441478
ito	1	8.638703
itself	15	5.930652
ive	1	8.638703
ivory	1	8.638703
ivy	1	8.638703
iwth	2	7.945555
ix	1	8.638703
jack	150	3.628067
jackets	1	8.638703
jacques	1	8.638703
jae	1	8.638703
jagermeister	2	7.945555
jagged	1	8.638703
jalape	3	7.540090
jalapeno	126	3.802421
jalapenos	45	4.832040
jalepeno	3	7.540090
jalepenos	1	8.638703
jam	91	4.127843
jamaican	7	6.692792
jamba	1	8.638703
jambalaya	7	6.692792
james	2	7.945555
jamie	7	6.692792
jams	2	7.945555
janet	1	8.638703
japan	1	8.638703
japanese	36	5.055184
jar	192	3.381207
jardini	2	7.945555
jarlsberg	3	7.540090
jarred	7	6.692792
jars	64	4.479820
jasmine	12	6.153796
jave	1	8.638703
jean	2	7.945555
jell	32	5.172967
jellied	3	7.540090
jello	40	4.949823
jelly	83	4.219862
jellyroll	8	6.559261
jemima	3	7.540090
jen	1	8.638703
jennifer	1	8.638703
jerk	7	6.692792
jerking	1	8.638703
jerky	4	7.252408
jesse	1	8.638703
jewel	3	7.540090
jewelry	1	8.638703
jewish	3	7.540090
jezebel	1	8.638703
jian	2	7.945555
jiang	1	8.638703
jiao	1	8.638703
jicama	17	5.805489
jif	1	8.638703
jiff	1	8.638703
jiffy	11	6.240807
jigger	1	8.638703
jiggle	1	8.638703
jiggles	2	7.945555
jiggliness	1	8.638703
jiggling	1	8.638703
jiggly	1	8.638703
jilly	1	8.638703
jim	7	6.692792
jimmies	1	8.638703
jimmy	6	6.846943
jitomate	2	7.945555
jj	1	8.638703
jmjohnsn	1	8.638703
joan	1	8.638703
joanna	1	8.638703
joanne	1	8.638703
job	1	8.638703
joe	11	6.240807
joes	7	6.692792
joey	1	8.638703
jog	1	8.638703
john	4	7.252408
johnny	1	8.638703
johns	2	7.945555
johnsonville	1	8.638703
join	2	7.945555
joining	1	8.638703
joint	3	7.540090
joints	5	7.029265
jolly	1	8.638703
jonathan	2	7.945555
jose	2	7.945555
joseph	1	8.638703
jowl	1	8.638703
joy	1	8.638703
judge	2	7.945555
judgement	1	8.638703
judgment	2	7.945555
judith	1	8.638703
jug	15	5.930652
juice	1752	1.170189
juiced	15	5.930652
juicer	6	6.846943
juices	148	3.641490
juicey	1	8.638703
juiciest	1	8.638703
juiciness	1	8.638703
juicing	1	8.638703
juicy	14	5.999645
julep	1	8.638703
julia	2	7.945555
julie	7	6.692792
julieneed	1	8.638703
julienne	18	5.748331
julienned	28	5.306498
julienning	1	8.638703
juliennned	1	8.638703
julinennes	1	8.638703
july	2	7.945555
jumbo	20	5.642970
jumex	1	8.638703
jumper	2	7.945555
jumping	1	8.638703
june	2	7.945555
jungle	1	8.638703
junior	1	8.638703
juniper	2	7.945555
jus	5	7.029265
just	807	1.945379
justed	1	8.638703
justin	2	7.945555
ka	1	8.638703
kabobs	7	6.692792
kad	1	8.638703
kadai	1	8.638703
kaesekuchen	1	8.638703
kaffir	7	6.692792
kahk	1	8.638703
kahl	1	8.638703
kahlua	25	5.419827
kaiser	5	7.029265
kakri	1	8.638703
kalamata	30	5.237505
kale	26	5.380606
kaleenka	1	8.638703
kamal	1	8.638703
kamut	4	7.252408
kangaroo	3	7.540090
karahi	1	8.638703
karen	2	7.945555
karfiol	1	8.638703
karo	10	6.336118
kasekuchen	1	8.638703
kaseri	1	8.638703
kashmiri	2	7.945555
kasseri	1	8.638703
kassos	1	8.638703
kat	1	8.638703
kate	2	7.945555
kathie	1	8.638703
kathryn	1	8.638703
kayro	1	8.638703
kc	1	8.638703
kebabs	5	7.029265
kebbeh	2	7.945555
keebler	1	8.638703
keeper	1	8.638703
keepin	1	8.638703
keeps	23	5.503208
kefalograviera	1	8.638703
kefalotyri	2	7.945555
keilbasa	1	8.638703
kelly	2	7.945555
kelp	2	7.945555
kens	1	8.638703
kentucky	6	6.846943
kern	1	8.638703
kernel	39	4.975141
kernels	22	5.547660
kerns	1	8.638703
kerr	1	8.638703
kerry	1	8.638703
ketchap	1	8.638703
ketchup	176	3.468219
ketimun	1	8.638703
ketjap	6	6.846943
kettle	23	5.503208
key	23	5.503208
kfc	5	7.029265
kg	38	5.001116
kheer	1	8.638703
khoya	2	7.945555
ki	1	8.638703
kick	9	6.441478
kid	1	8.638703
kidney	79	4.269255
kidneys	1	8.638703
kids	13	6.073753
kielbasa	41	4.925131
kiev	1	8.638703
kievs	1	8.638703
kikkoman	4	7.252408
killer	3	7.540090
killians	1	8.638703
kills	1	8.638703
kilo	1	8.638703
kim	1	8.638703
kimchee	3	7.540090
kimchi	1	8.638703
kind	53	4.668411
kinda	2	7.945555
kinds	5	7.029265
king	15	5.930652
kinky	1	8.638703
kiolbassa	2	7.945555
kirby	1	8.638703
kiri	1	8.638703
kirk	1	8.638703
kirsberry	1	8.638703
kirsch	4	7.252408
kishke	2	7.945555
kiss	5	7.029265
kisses	5	7.029265
kit	2	7.945555
kitchen	51	4.706877
kitchenaid	5	7.029265
kitchenaide	1	8.638703
kitchens	1	8.638703
kittencal	9	6.441478
kittencals	2	7.945555
kiwi	10	6.336118
kiwis	1	8.638703
klub	1	8.638703
knead	142	3.682876
kneaded	1	8.638703
kneading	18	5.748331
kneed	1	8.638703
knif	1	8.638703
knife	249	3.121250
knifes	1	8.638703
knives	15	5.930652
knob	2	7.945555
knock	5	7.029265
knorr	8	6.559261
knot	1	8.638703
knott	1	8.638703
knox	4	7.252408
knuckle	3	7.540090
knuckles	1	8.638703
knudsen	1	8.638703
kofta	4	7.252408
koftas	1	8.638703
koinonia	1	8.638703
kolacky	2	7.945555
kombu	1	8.638703
kon	1	8.638703
konbu	2	7.945555
kong	1	8.638703
konju	1	8.638703
kool	5	7.029265
koolaid	2	7.945555
koolaidy	1	8.638703
korean	10	6.336118
korma	1	8.638703
kosher	144	3.668889
koshi	1	8.638703
kotopoulo	1	8.638703
kovbasa	1	8.638703
kraft	21	5.594180
krafts	1	8.638703
kraut	3	7.540090
krieger	1	8.638703
kringle	1	8.638703
kringles	1	8.638703
krispies	17	5.805489
krispy	2	7.945555
krueger	1	8.638703
kuchen	5	7.029265
kugel	10	6.336118
kumara	6	6.846943
kumquat	2	7.945555
kumquats	2	7.945555
kung	3	7.540090
kupaka	1	8.638703
kurdish	1	8.638703
la	21	5.594180
label	21	5.594180
labeled	1	8.638703
labu	1	8.638703
lace	1	8.638703
laced	1	8.638703
lachoy	1	8.638703
lacinato	1	8.638703
lack	2	7.945555
lacks	1	8.638703
ladder	1	8.638703
laddles	1	8.638703
ladies	1	8.638703
ladle	84	4.207886
ladled	1	8.638703
ladleful	3	7.540090
ladles	1	8.638703
ladoo	1	8.638703
lady	7	6.692792
ladybug	2	7.945555
ladyfinger	1	8.638703
ladyfingers	3	7.540090
lagasse	2	7.945555
lagasses	1	8.638703
lage	1	8.638703
lager	2	7.945555
lagrge	1	8.638703
laid	1	8.638703
laimgton	1	8.638703
laird	2	7.945555
lait	1	8.638703
lak	1	8.638703
lakes	2	7.945555
laksa	1	8.638703
lamb	94	4.095408
lambrusco	1	8.638703
lamington	2	7.945555
lancaster	1	8.638703
land	2	7.945555
lander	1	8.638703
landis	1	8.638703
lantern	1	8.638703
lanterns	1	8.638703
laos	2	7.945555
lapping	1	8.638703
larb	1	8.638703
lard	17	5.805489
large	2891	0.669345
larger	53	4.668411
largest	4	7.252408
larp	2	7.945555
larry	2	7.945555
lasagna	52	4.687459
lasagne	4	7.252408
lash	1	8.638703
lashings	1	8.638703
lassi	1	8.638703
last	123	3.826518
lastly	3	7.540090
lasts	2	7.945555
late	1	8.638703
later	68	4.419195
laterally	1	8.638703
latex	1	8.638703
latin	1	8.638703
latino	1	8.638703
latkes	4	7.252408
latte	5	7.029265
lattice	4	7.252408
laughing	2	7.945555
laundry	1	8.638703
laung	2	7.945555
laura	3	7.540090
laurentiis	1	8.638703
lava	2	7.945555
lavadores	1	8.638703
lavender	11	6.240807
laves	1	8.638703
lawry	9	6.441478
lawson	2	7.945555
lay	103	4.003974
layer	375	2.711777
layered	21	5.594180
layering	16	5.866114
layers	108	3.956571
laying	1	8.638703
layout	3	7.540090
lazy	4	7.252408
lb	1063	1.669852
lbs	701	2.086195
le	1	8.638703
lea	2	7.945555
leaaves	1	8.638703
leaded	1	8.638703
leads	1	8.638703
leaf	265	3.058973
leafy	3	7.540090
leak	3	7.540090
leaking	1	8.638703
leaks	2	7.945555
lean	144	3.668889
learned	1	8.638703
learnt	1	8.638703
lease	1	8.638703
least	343	2.800972
leaved	1	8.638703
leavening	3	7.540090
leaves	468	2.490234
lebanese	8	6.559261
leche	6	6.846943
lecithin	2	7.945555
lee	4	7.252408
leek	41	4.925131
leekie	1	8.638703
leeks	66	4.449048
leeway	1	8.638703
leftover	51	4.706877
leftovers	37	5.027785
leg	16	5.866114
legal	1	8.638703
legs	26	5.380606
leighs	1	8.638703
leila	1	8.638703
leisure	1	8.638703
lemon	1352	1.429362
lemonade	28	5.306498
lemongrass	15	5.930652
lemonn	1	8.638703
lemons	45	4.832040
lemony	5	7.029265
lends	1	8.638703
lenghtwise	2	7.945555
lenghwise	2	7.945555
length	15	5.930652
lengthise	1	8.638703
lengths	25	5.419827
lengthways	7	6.692792
lengthwise	120	3.851211
lengthy	1	8.638703
lenthwise	4	7.252408
lentil	31	5.204715
lentiles	2	7.945555
lentils	74	4.334638
leprechaun	1	8.638703
les	2	7.945555
less	161	3.557298
lessen	1	8.638703
lest	1	8.638703
lettuce	202	3.330435
lettuces	1	8.638703
level	43	4.877502
levels	1	8.638703
lf	1	8.638703
lg	6	6.846943
li	2	7.945555
libby	2	7.945555
liberal	3	7.540090
liberally	22	5.547660
libyan	1	8.638703
licked	1	8.638703
lickin	1	8.638703
licking	2	7.945555
licor	2	7.945555
licorice	2	7.945555
lid	179	3.451317
lidded	3	7.540090
lidia	1	8.638703
lids	18	5.748331
lie	1	8.638703
life	4	7.252408
lift	46	4.810061
lifted	1	8.638703
lifting	5	7.029265
lighlty	1	8.638703
light	515	2.394536
lightely	1	8.638703
lighten	6	6.846943
lightened	1	8.638703
lighter	13	6.073753
lightest	1	8.638703
lighthearted	1	8.638703
lightly	840	1.905301
lightning	1	8.638703
lighty	4	7.252408
liguria	1	8.638703
like	486	2.452494
liked	2	7.945555
likely	5	7.029265
likeness	1	8.638703
likes	5	7.029265
likey	1	8.638703
liking	49	4.746882
lilikoi	3	7.540090
